season,avg_runs_per_match
2008,309.2586206896552
2009,286.89473684210526
2010,314.71666666666664
2011,289.7808219178082
2012,303.4189189189189
2013,297.39473684210526
2014,315.51666666666665
2015,311.06779661016947
2016,314.3666666666667
2017,318.40677966101697
2018,345.1
2019,337.8333333333333
