bowler,economy_rate,balls
A Kumble,6.578238341968912,965
M Muralitharan,6.698952879581152,1528
Rashid Khan,6.734246575342466,1095
SP Narine,6.751463129145533,2563
DL Vettori,6.77992277992278,777
DW Steyn,6.8039772727272725,2112
R Ashwin,6.845128205128205,2925
J Botha,6.916426512968299,694
R Sharma,7.0215517241379315,928
Harbhajan Singh,7.075874333135744,3374
